,Date,Open,High,Low,Close,Adj Close,Volume
,42651,189,193.460007,185.960007,190.559998,190.559998,5146000
,42652,193.589996,194.289993,190.050003,193.210007,193.210007,3870100
,42653,193.789993,197.490005,191.259995,194.940002,194.940002,3251400
,42654,186.880005,192,183.949997,190.059998,190.059998,8173100
,42655,191.050003,191.610001,180.419998,185.350006,185.350006,6750300
,42656,184.240005,188.880005,183,188.559998,188.559998,3984400
,42657,188,188.25,178.190002,181.449997,181.449997,6552200
,42658,182.779999,186.429993,182.050003,183.770004,183.770004,3902000
,42659,182.649994,184.729996,181.210007,183.929993,183.929993,3434400
,42660,183.490005,189.490005,182.110001,188.660004,188.660004,4887100
,42661,190.649994,193,185,185.020004,185.020004,5210300
,42662,185.039993,188.889999,184.410004,184.520004,184.520004,4361000
,42663,185.839996,191.470001,183.710007,191.169998,191.169998,5603400
,42664,190.610001,195.639999,189,193.139999,193.139999,4891900
,42665,193.639999,197.240005,193.639999,196.649994,196.649994,2366100
,42666,195.479996,199.350006,194.550003,196.119995,196.119995,4529200
,42667,195.559998,196.729996,189.5,189.570007,189.570007,4439300
,42668,191,191.889999,187.5,189.399994,189.399994,3547100
,42669,188.25,188.529999,181,181.880005,181.880005,5126400
,42670,182.880005,184.880005,180,181.470001,181.470001,4042300
,42671,182.509995,188.889999,182.509995,186.800003,186.800003,4072200
,42672,185.520004,186.580002,182.679993,185.850006,185.850006,3391600
,42673,186.149994,193.399994,185,193.149994,193.149994,5461900
,42674,192.050003,192.5,189.539993,192.289993,192.289993,3194100
,42675,190.869995,193.839996,190.809998,192.179993,192.179993,2722500
,42676,192.800003,194.419998,191.179993,192.429993,192.429993,2438900
,42677,193.179993,201.279999,193,198.149994,198.149994,6823900
,42678,198.740005,203,196.759995,198.690002,198.690002,4150900
,42679,198.410004,200.740005,197.389999,197.580002,197.580002,3219600
,42680,198.080002,202.589996,197.600006,202.490005,202.490005,3796900
,42681,202.490005,204.449997,199.839996,202.729996,202.729996,3488100
,42682,203.050003,209,202.5,208.789993,208.789993,4689100
,42683,208.449997,212.229996,207.410004,207.699997,207.699997,5207600
,42684,208.220001,209.990005,206.5,208.449997,208.449997,3111100
,42685,208,213.449997,207.710007,213.339996,213.339996,4662900
,42686,214.880005,222.25,214.419998,219.529999,219.529999,5915700
,42687,221.529999,223.800003,217.199997,219.740005,219.740005,3782500
,42688,218.559998,219.199997,214.119995,214.679993,214.679993,4045000
,42689,216.300003,217.5,211.679993,213.690002,213.690002,4642600
,42690,214.860001,220.330002,210.960007,216.990005,216.990005,5923300
,42691,214.75,228,214.309998,226.990005,226.990005,11213500
,42692,226.419998,227.479996,221.949997,226.75,226.75,5911700
,42693,226.929993,230.309998,225.449997,229.009995,229.009995,5527900
,42694,228.970001,231.919998,228,231.279999,231.279999,3979500
,42695,232,232,226.889999,229.869995,229.869995,3660000
,42696,229.070007,229.979996,226.679993,229.729996,229.729996,3650800
,42697,229.059998,230.699997,225.580002,229.589996,229.589996,3790200
